abdikovať	отречься	abdikovať	отречься	NFIN;V
abstinovať	воздержаться	abstinovať	воздержаться	NFIN;V
adaptovať	подогнать	adaptovať	подогнать	NFIN;V
adaptovať	приспособить	adaptovať	приспособить	NFIN;V
aktíniu	актинии	aktínium	актиний	ESS;N;SG
aktínium	актиний	aktínium	актиний	N;NOM;SG
aktínium	актиний	aktínium	актиний	ACC;N;SG
aktíniom	актинием	aktínium	актиний	INS;N;SG
aktíniu	актинию	aktínium	актиний	DAT;N;SG
aktínia	актиния	aktínium	актиний	GEN;N;SG
americký	американский	americký	американский	ACC;ADJ;INAN;MASC;SG
americkému	американскому	americký	американский	ADJ;DAT;MASC;SG
americkej	американской	americký	американский	ADJ;ESS;FEM;SG
americkým	американским	americký	американский	ADJ;INS;MASC;SG
americké	американское	americký	американский	ACC;ADJ;NEUT;SG
americkému	американскому	americký	американский	ADJ;DAT;NEUT;SG
amerického	американского	americký	американский	ACC;ADJ;MASC;SG
americkou	американской	americký	американский	ADJ;FEM;INS;SG
americkej	американской	americký	американский	ADJ;FEM;GEN;SG
americké	американское	americký	американский	ADJ;NEUT;NOM;SG
americkom	американском	americký	американский	ADJ;ESS;MASC;SG
amerických	американских	americký	американский	ADJ;ESS;PL
americká	американская	americký	американский	ADJ;FEM;NOM;SG
amerických	американских	americký	американский	ADJ;GEN;PL
americký	американский	americký	американский	ADJ;MASC;NOM;SG
americkým	американским	americký	американский	ADJ;INS;NEUT;SG
americkým	американским	americký	американский	ADJ;DAT;PL
amerického	американского	americký	американский	ADJ;GEN;NEUT;SG
amerického	американского	americký	американский	ADJ;GEN;MASC;SG
americké	американские	americký	американский	ADJ;NOM;PL
americké	американских	americký	американский	ACC;ADJ;PL
americkej	американской	americký	американский	ADJ;DAT;FEM;SG
americkom	американском	americký	американский	ADJ;ESS;NEUT;SG
americkú	американскую	americký	американский	ACC;ADJ;FEM;SG
americkými	американскими	americký	американский	ADJ;INS;PL
anticipovať	опередить	anticipovať	опередить	NFIN;V
antimón	стибиум	antimón	стибиум	N;NOM;SG
antimóne	стибиуме	antimón	стибиум	ESS;N;SG
antimónu	стибиума	antimón	стибиум	GEN;N;SG
antimónom	стибиумом	antimón	стибиум	INS;N;SG
antimón	стибиум	antimón	стибиум	ACC;N;SG
antimónu	стибиуму	antimón	стибиум	DAT;N;SG
antimónu	сурьмы	antimón	сурьма	GEN;N;SG
antimón	сурьма	antimón	сурьма	N;NOM;SG
antimónu	сурьме	antimón	сурьма	DAT;N;SG
antimóne	сурьме	antimón	сурьма	ESS;N;SG
antimón	сурьму	antimón	сурьма	ACC;N;SG
antimónom	сурьмой	antimón	сурьма	INS;N;SG
anulovať	вернуть	anulovať	вернуть	NFIN;V
anulovať	расторгнуть	anulovať	расторгнуть	NFIN;V
aranžovať	расположить	aranžovať	расположить	NFIN;V
aranžovať	расставить	aranžovať	расставить	NFIN;V
atómového	атомного	atómový	атомный	ADJ;GEN;NEUT;SG
atómovom	атомном	atómový	атомный	ADJ;ESS;MASC;SG
atómového	атомного	atómový	атомный	ACC;ADJ;MASC;SG
atómové	атомные	atómový	атомный	ADJ;NOM;PL
atómovou	атомной	atómový	атомный	ADJ;FEM;INS;SG
atómovú	атомную	atómový	атомный	ACC;ADJ;FEM;SG
atómových	атомных	atómový	атомный	ADJ;ESS;PL
atómovej	атомной	atómový	атомный	ADJ;DAT;FEM;SG
atómovej	атомной	atómový	атомный	ADJ;ESS;FEM;SG
atómové	атомное	atómový	атомный	ADJ;NEUT;NOM;SG
atómová	атомная	atómový	атомный	ADJ;FEM;NOM;SG
atómový	атомный	atómový	атомный	ADJ;MASC;NOM;SG
atómový	атомный	atómový	атомный	ACC;ADJ;INAN;MASC;SG
atómovým	атомным	atómový	атомный	ADJ;INS;NEUT;SG
atómovým	атомным	atómový	атомный	ADJ;INS;MASC;SG
atómových	атомных	atómový	атомный	ADJ;GEN;PL
