vede	науці	veda	наука	DAT;N;SG
priateľky	дівчат	priateľka	дівчина	ACC;N;PL
dobrým	добрим	dobrý	добрий	ADJ;DAT;PL
had	змія	had	змія	N;NOM;SG
vietor	вітер	vietor	вітер	N;NOM;SG
slonov	слонів	slon	слон	GEN;N;PL
drozdov	дроздів	drozd	дрізд	GEN;N;PL
chlapovi	мужеві	chlap	муж	ESS;N;SG
fľašou	пляшкою	fľaša	пляшка	INS;N;SG
mori	морі	more	море	ESS;N;SG
jablka	яблука	jablko	яблуко	GEN;N;SG
zlej	поганій	zlý	поганий	ADJ;DAT;FEM;SG
si	єси	byť	бути	2;PRS;SG;V
pracujem	роблю	pracovať	робити	1;PRS;SG;V
vodách	водах	voda	вода	ESS;N;PL
hlasu	голосу	hlas	голос	DAT;N;SG
vôd	вод	voda	вода	GEN;N;PL
bytmi	квартирами	byt	квартира	INS;N;PL
syrom	сирам	syr	сир	DAT;N;PL
bytu	помешкання	byt	помешкання	GEN;N;SG
kozami	цапами	koza	цап	INS;N;PL
bytmi	житлами	byt	житло	INS;N;PL
nohám	ногам	noha	нога	DAT;N;PL
robievali	робили	robiť	робити	3;FEM;PL;PST;V
fľaši	пляшці	fľaša	пляшка	ESS;N;SG
zlé	поганих	zlý	поганий	ACC;ADJ;PL
sobotách	суботах	sobota	субота	ESS;N;PL
mamách	мамах	mama	мама	ESS;N;PL
dušu	душу	duša	душа	ACC;N;SG
návrh	пропозицію	návrh	пропозиція	ACC;N;SG
mečom	мечам	meč	меч	DAT;N;PL
biele	білих	biely	білий	ACC;ADJ;PL
ramien	рук	rameno	рука	GEN;N;PL
zeme	країни	zem	країна	ACC;N;PL
životoch	життях	život	життя	ESS;N;PL
zrna	зерна	zrno	зерно	GEN;N;SG
novému	новому	nový	новий	ADJ;DAT;NEUT;SG
grindách	гриндах	grinda	гринда	ESS;N;PL
nedieľ	неділь	nedeľa	неділя	GEN;N;PL
bielu	білу	biely	білий	ACC;ADJ;FEM;SG
územiami	землями	územie	земля	INS;N;PL
papagájovi	папузі	papagáj	папуга	ESS;N;SG
vidličky	виделки	vidlička	виделка	GEN;N;SG
vajciach	яйцях	vajce	яйце	ESS;N;PL
chrbty	спини	chrbát	спина	N;NOM;PL
vlasy	волоси	vlas	волос	N;NOM;PL
priateľku	приятеля	priateľka	приятель	ACC;N;SG
somárovi	ішаку	somár	ішак	DAT;N;SG
sprchou	душем	sprcha	душ	INS;N;SG
priezviskom	прізвищем	priezvisko	прізвище	INS;N;SG
blchy	блохи	blcha	блоха	GEN;N;SG
osobe	особі	osoba	особа	ESS;N;SG
osoby	люди	osoba	людина	N;NOM;PL
bude	буде	byť	бути	3;FUT;SG;V
píč	пизд	piča	пизда	GEN;N;PL
sady	сади	sad	сад	N;NOM;PL
slonom	слонам	slon	слон	DAT;N;PL
psov	псів	pes	пес	GEN;N;PL
vidličkami	виделками	vidlička	виделка	INS;N;PL
zemou	землею	zem	земля	INS;N;SG
odvoávať	скасувати	odvoávať	скасувати	NFIN;V
plyny	гази	plyn	газ	ACC;N;PL
nožu	ножу	nôž	ніж	DAT;N;SG
