anulovať	скасувати	anulovať	скасувати	NFIN;V
bielom	білому	biely	білий	ADJ;ESS;NEUT;SG
bieleho	білого	biely	білий	ACC;ADJ;MASC;SG
bieleho	білого	biely	білий	ADJ;GEN;NEUT;SG
bielemu	білому	biely	білий	ADJ;DAT;NEUT;SG
bielemu	білому	biely	білий	ADJ;DAT;MASC;SG
bielej	білій	biely	білий	ADJ;ESS;FEM;SG
bielych	білих	biely	білий	ADJ;GEN;PL
bielej	білій	biely	білий	ADJ;DAT;FEM;SG
biele	білі	biely	білий	ADJ;NOM;PL
biele	білих	biely	білий	ACC;ADJ;PL
bielym	білим	biely	білий	ADJ;DAT;PL
bielej	білої	biely	білий	ADJ;FEM;GEN;SG
biele	біле	biely	білий	ACC;ADJ;NEUT;SG
bielych	білих	biely	білий	ADJ;ESS;PL
bielym	білим	biely	білий	ADJ;INS;NEUT;SG
biele	біле	biely	білий	ADJ;NEUT;NOM;SG
bielom	білому	biely	білий	ADJ;ESS;MASC;SG
bielou	білою	biely	білий	ADJ;FEM;INS;SG
bielym	білим	biely	білий	ADJ;INS;MASC;SG
biely	білий	biely	білий	ACC;ADJ;INAN;MASC;SG
biely	білий	biely	білий	ADJ;MASC;NOM;SG
bielu	білу	biely	білий	ACC;ADJ;FEM;SG
bieleho	білого	biely	білий	ADJ;GEN;MASC;SG
bielymi	білими	biely	білий	ADJ;INS;PL
biela	біла	biely	білий	ADJ;FEM;NOM;SG
blchách	блохах	blcha	блоха	ESS;N;PL
blchy	блохи	blcha	блоха	N;NOM;PL
blchám	блохам	blcha	блоха	DAT;N;PL
blchou	блохою	blcha	блоха	INS;N;SG
blche	блосі	blcha	блоха	ESS;N;SG
blchy	блохи	blcha	блоха	ACC;N;PL
blcha	блоха	blcha	блоха	N;NOM;SG
blchu	блоху	blcha	блоха	ACC;N;SG
blche	блосі	blcha	блоха	DAT;N;SG
blchami	блохами	blcha	блоха	INS;N;PL
bĺch	бліх	blcha	блоха	GEN;N;PL
blchy	блохи	blcha	блоха	GEN;N;SG
bohyňu	богиню	bohyňa	богиня	ACC;N;SG
bohyniam	богиням	bohyňa	богиня	DAT;N;PL
bohyni	богині	bohyňa	богиня	ESS;N;SG
bohyni	богині	bohyňa	богиня	DAT;N;SG
bohyniach	богинях	bohyňa	богиня	ESS;N;PL
bohýň	богинь	bohyňa	богиня	GEN;N;PL
bohyňami	богинями	bohyňa	богиня	INS;N;PL
bohyne	богині	bohyňa	богиня	GEN;N;SG
bohyňa	богиня	bohyňa	богиня	N;NOM;SG
bohyne	богині	bohyňa	богиня	N;NOM;PL
bohyne	богинь	bohyňa	богиня	ACC;N;PL
bohyňou	богинею	bohyňa	богиня	INS;N;SG
bohom	богом	boh	бог	INS;N;SG
boha	бога	boh	бог	ACC;N;SG
bohov	богів	boh	бог	ACC;N;PL
bohoch	богах	boh	бог	ESS;N;PL
bohom	богам	boh	бог	DAT;N;PL
bohu	богові	boh	бог	ESS;N;SG
bohmi	богами	boh	бог	INS;N;PL
boha	бога	boh	бог	GEN;N;SG
bohovia	боги	boh	бог	N;NOM;PL
bohu	богові	boh	бог	DAT;N;SG
boh	бог	boh	бог	N;NOM;SG
bohov	богів	boh	бог	GEN;N;PL
brady	бороди	brada	борода	N;NOM;PL
bradou	бородою	brada	борода	INS;N;SG
brade	бороді	brada	борода	ESS;N;SG
bradách	бородах	brada	борода	ESS;N;PL
brady	бороди	brada	борода	GEN;N;SG
bradu	бороду	brada	борода	ACC;N;SG
brada	борода	brada	борода	N;NOM;SG
briad	борід	brada	борода	GEN;N;PL
brade	бороді	brada	борода	DAT;N;SG
bradami	бородами	brada	борода	INS;N;PL
bradám	бородам	brada	борода	DAT;N;PL
brady	бороди	brada	борода	ACC;N;PL
bratom	братам	brat	брат	DAT;N;PL
bratovi	братові	brat	брат	ESS;N;SG
brata	брата	brat	брат	ACC;N;SG
bratia	брати	brat	брат	N;NOM;PL
brata	брата	brat	брат	GEN;N;SG
bratov	братів	brat	брат	GEN;N;PL
brat	брат	brat	брат	N;NOM;SG
bratov	братів	brat	брат	ACC;N;PL
bratovi	братові	brat	брат	DAT;N;SG
bratmi	братами	brat	брат	INS;N;PL
bratoch	братах	brat	брат	ESS;N;PL
bratom	братом	brat	брат	INS;N;SG
brezou	березою	breza	береза	INS;N;SG
brezami	березами	breza	береза	INS;N;PL
brezám	березам	breza	береза	DAT;N;PL
brezy	берези	breza	береза	ACC;N;PL
brezu	березу	breza	береза	ACC;N;SG
brezy	берези	breza	береза	N;NOM;PL
briez	беріз	breza	береза	GEN;N;PL
brezy	берези	breza	береза	GEN;N;SG
brezách	березах	breza	береза	ESS;N;PL
breza	береза	breza	береза	N;NOM;SG
breze	березі	breza	береза	ESS;N;SG
breze	березі	breza	береза	DAT;N;SG
bránam	боронам	brány	борона	DAT;N;PL
brán	борін	brány	борона	GEN;N;PL
bránach	боронах	brány	борона	ESS;N;PL
brány	борони	brány	борона	N;NOM;PL
bránami	боронами	brány	борона	INS;N;PL
